Date,T_air,PET,Pptn
01/01/1981,2.91,0.31,1.96
02/01/1981,4.37,0.31,0.4
03/01/1981,2.53,0.31,2.98
04/01/1981,-0.57,0.31,4.72
05/01/1981,-1.18,0.31,4.14
06/01/1981,-2.74,0.31,1.42
07/01/1981,0.17,0.31,0.96
08/01/1981,3.89,0.31,1.82
09/01/1981,2.62,0.31,5.06
10/01/1981,0.62,0.31,0.64
11/01/1981,2.41,0.31,8.18
12/01/1981,-0.89,0.31,4.2
13/01/1981,1.17,0.31,1.84
14/01/1981,2.04,0.31,8.72
15/01/1981,-1.89,0.31,2.52
16/01/1981,-5.16,0.31,10.04
17/01/1981,-4.34,0.31,2.62
18/01/1981,-2.26,0.31,1.64
19/01/1981,0.54,0.31,1.72
20/01/1981,1.63,0.31,0.88
21/01/1981,4.36,0.31,1.2
22/01/1981,4.38,0.31,0.08
23/01/1981,5.59,0.31,0
24/01/1981,3.68,0.31,0.32
25/01/1981,2.42,0.31,5.16
26/01/1981,4.16,0.31,4.94
27/01/1981,6.02,0.31,0.04
28/01/1981,5.13,0.31,0.02
29/01/1981,7.23,0.31,0
30/01/1981,8.59,0.31,0
31/01/1981,8.49,0.31,0
01/02/1981,8.38,0.61,2.8
02/02/1981,6.07,0.61,5.9
03/02/1981,2.13,0.61,0.42
04/02/1981,0.73,0.61,0.64
05/02/1981,5.25,0.61,0.82
06/02/1981,7.32,0.61,1.78
07/02/1981,6.66,0.61,0.9
08/02/1981,3.14,0.61,0.02
09/02/1981,-0.55,0.61,0
10/02/1981,-0.39,0.61,0
11/02/1981,-0.37,0.61,0.6
12/02/1981,2.08,0.61,0.08
13/02/1981,4.71,0.61,0
14/02/1981,3.37,0.61,0
15/02/1981,2.44,0.61,0
16/02/1981,1,0.61,0
17/02/1981,0.57,0.61,0
18/02/1981,0.89,0.61,0
19/02/1981,-0.26,0.61,0.04
20/02/1981,-0.11,0.61,0.2
21/02/1981,-0.83,0.61,0.72
22/02/1981,-0.37,0.61,1.54
23/02/1981,-1.2,0.61,2.88
24/02/1981,-1.28,0.61,0.16
25/02/1981,-0.52,0.61,0.02
26/02/1981,0.7,0.61,0.04
27/02/1981,1.38,0.61,1.1
28/02/1981,1.41,0.61,22.94
01/03/1981,0.01,0.91,7.88
02/03/1981,0.4,0.91,0.9
03/03/1981,0.98,0.91,0.08
04/03/1981,1.85,0.91,0
05/03/1981,0.37,0.91,4.74
06/03/1981,3.16,0.91,3.38
07/03/1981,6.04,0.91,0.04
08/03/1981,8.44,0.91,0.04
09/03/1981,4.51,0.91,0.98
10/03/1981,6.29,0.91,3.54
11/03/1981,8.44,0.91,0.02
12/03/1981,9.81,0.91,0.12
13/03/1981,5.45,0.91,5.44
14/03/1981,4.71,0.91,1.04
15/03/1981,3.32,0.91,1.58
16/03/1981,1.11,0.91,2.82
17/03/1981,2.75,0.91,0.3
18/03/1981,2.08,0.91,0.04
19/03/1981,2.66,0.91,0.24
20/03/1981,3.13,0.91,4.84
21/03/1981,0.87,0.91,4.16
22/03/1981,-0.54,0.91,0.36
23/03/1981,0.49,0.91,2.08
24/03/1981,3.83,0.91,9.08
25/03/1981,8.37,0.91,2.16
26/03/1981,7.16,0.91,0.18
27/03/1981,5.35,0.91,4.88
28/03/1981,7.39,0.91,2.86
29/03/1981,6.04,0.91,0.02
30/03/1981,7.94,0.91,0
31/03/1981,6.14,0.91,0.06
01/04/1981,5.35,1.83,0.68
02/04/1981,6.81,1.83,0
03/04/1981,5.49,1.83,0
04/04/1981,7.08,1.83,0.46
05/04/1981,6.6,1.83,0.02
06/04/1981,4.39,1.83,0.04
07/04/1981,5.38,1.83,0.4
08/04/1981,6.63,1.83,0
09/04/1981,8.98,1.83,0
10/04/1981,10.08,1.83,0
11/04/1981,6,1.83,2.78
12/04/1981,6.45,1.83,0
13/04/1981,4.59,1.83,0
14/04/1981,4.32,1.83,0
15/04/1981,6.65,1.83,0
16/04/1981,6.94,1.83,0
17/04/1981,6.64,1.83,0
18/04/1981,4.02,1.83,0
19/04/1981,5.92,1.83,0
20/04/1981,6.16,1.83,0
21/04/1981,6.27,1.83,0
22/04/1981,2.26,1.83,0.96
23/04/1981,0.51,1.83,4.8
24/04/1981,0.16,1.83,0.88
25/04/1981,2.72,1.83,0.46
26/04/1981,1.52,1.83,0.04
27/04/1981,3.27,1.83,1.72
28/04/1981,7.07,1.83,0.06
29/04/1981,11.72,1.83,0.54
30/04/1981,5.5,1.83,2.88
01/05/1981,2.89,2.25,0.26
02/05/1981,2.89,2.25,2.9
03/05/1981,5.34,2.25,9.6
04/05/1981,3.59,2.25,0.42
05/05/1981,2.31,2.25,0.82
06/05/1981,6.99,2.25,0.18
07/05/1981,9.38,2.25,5.3
08/05/1981,11.89,2.25,0.16
09/05/1981,12.22,2.25,0.54
10/05/1981,8.21,2.25,0.36
11/05/1981,12.86,2.25,0
12/05/1981,13.77,2.25,0
13/05/1981,12.95,2.25,0.24
14/05/1981,9.89,2.25,0.02
15/05/1981,8.28,2.25,0
16/05/1981,7.63,2.25,3.22
17/05/1981,9.07,2.25,0
18/05/1981,10.49,2.25,3.14
19/05/1981,11.61,2.25,0.02
20/05/1981,9.37,2.25,5.32
21/05/1981,11.61,2.25,0.9
22/05/1981,11.23,2.25,0.24
23/05/1981,10.56,2.25,0.52
24/05/1981,10.5,2.25,3.02
25/05/1981,8.5,2.25,7.84
26/05/1981,10.58,2.25,1.86
27/05/1981,9.97,2.25,0.02
28/05/1981,11.03,2.25,1.26
29/05/1981,10.11,2.25,0
30/05/1981,13.09,2.25,0
31/05/1981,13.42,2.25,6.52
01/06/1981,13.41,2.57,0.74
02/06/1981,11.16,2.57,8.78
03/06/1981,12.46,2.57,0.02
04/06/1981,12.04,2.57,0
05/06/1981,12.62,2.57,0.52
06/06/1981,11.54,2.57,1.12
07/06/1981,10.51,2.57,3.06
08/06/1981,10.17,2.57,1.2
09/06/1981,10.31,2.57,29.36
10/06/1981,9,2.57,1.2
11/06/1981,6.74,2.57,2.6
12/06/1981,8.28,2.57,1.62
13/06/1981,12.75,2.57,0.74
14/06/1981,15.1,2.57,0
15/06/1981,12.44,2.57,0.28
16/06/1981,10.32,2.57,2.08
17/06/1981,9.99,2.57,0.1
18/06/1981,9.51,2.57,0.5
19/06/1981,10.69,2.57,0.34
20/06/1981,11.74,2.57,0.04
21/06/1981,13.04,2.57,0
22/06/1981,14.37,2.57,0
23/06/1981,13.69,2.57,0.18
24/06/1981,11.46,2.57,1.78
25/06/1981,9.35,2.57,0.64
26/06/1981,8.51,2.57,2.02
27/06/1981,7.56,2.57,0.12
28/06/1981,8.42,2.57,0
29/06/1981,9.1,2.57,0
30/06/1981,13.88,2.57,0
01/07/1981,12.25,2.62,0.6
02/07/1981,10.64,2.62,4.32
03/07/1981,9.85,2.62,2.38
04/07/1981,11.77,2.62,0.18
05/07/1981,12.62,2.62,0.44
06/07/1981,13.03,2.62,0.48
07/07/1981,14.82,2.62,0.02
08/07/1981,15.96,2.62,0.06
09/07/1981,15.16,2.62,1.92
10/07/1981,13.79,2.62,2.1
11/07/1981,11.67,2.62,9.82
12/07/1981,12.31,2.62,0.08
13/07/1981,12.2,2.62,0.92
14/07/1981,12.79,2.62,0.02
15/07/1981,13.86,2.62,4.04
16/07/1981,11.44,2.62,5.62
17/07/1981,10.85,2.62,1.5
18/07/1981,12.43,2.62,0.36
19/07/1981,12.52,2.62,0.32
20/07/1981,14.96,2.62,0.42
21/07/1981,12.03,2.62,16.54
22/07/1981,11.31,2.62,15.18
23/07/1981,10.83,2.62,1.64
24/07/1981,10.56,2.62,0
25/07/1981,11.05,2.62,1.18
26/07/1981,16.69,2.62,0
27/07/1981,16.6,2.62,0.08
28/07/1981,15.76,2.62,2.8
29/07/1981,14.58,2.62,0
30/07/1981,12.84,2.62,0
31/07/1981,11.33,2.62,0
01/08/1981,11.32,2.45,0
02/08/1981,11.81,2.45,1.58
03/08/1981,15.3,2.45,0.1
04/08/1981,15.56,2.45,0
05/08/1981,16.56,2.45,0
06/08/1981,14.2,2.45,0
07/08/1981,14.6,2.45,0
08/08/1981,13.74,2.45,2.42
09/08/1981,12.51,2.45,0.12
10/08/1981,13.25,2.45,0
11/08/1981,18.11,2.45,1.02
12/08/1981,17.32,2.45,1.36
13/08/1981,15.8,2.45,0
14/08/1981,14.33,2.45,0.18
15/08/1981,11.68,2.45,3.48
16/08/1981,11.06,2.45,0.06
17/08/1981,9.88,2.45,1.2
18/08/1981,13.48,2.45,0.2
19/08/1981,11.37,2.45,9.5
20/08/1981,10.38,2.45,0.3
21/08/1981,12.67,2.45,0.16
22/08/1981,11.93,2.45,0.02
23/08/1981,12.19,2.45,0.4
24/08/1981,16.5,2.45,0.06
25/08/1981,15.42,2.45,0
26/08/1981,14.44,2.45,0
27/08/1981,17.59,2.45,0
28/08/1981,16.11,2.45,0
29/08/1981,14.73,2.45,0
30/08/1981,14.54,2.45,0
31/08/1981,10.49,2.45,0
01/09/1981,11.46,1.81,0
02/09/1981,10.66,1.81,0
03/09/1981,12.17,1.81,0.18
04/09/1981,15.93,1.81,0.72
05/09/1981,16.8,1.81,0
06/09/1981,10.87,1.81,0
07/09/1981,13.91,1.81,0.5
08/09/1981,14.62,1.81,0.02
09/09/1981,10.53,1.81,0
10/09/1981,14.31,1.81,6.92
11/09/1981,13.27,1.81,1.7
12/09/1981,9.98,1.81,4.72
13/09/1981,8.58,1.81,0
14/09/1981,9.82,1.81,5.96
15/09/1981,13.06,1.81,0.18
16/09/1981,10.94,1.81,10.6
17/09/1981,13.66,1.81,8.98
18/09/1981,13.42,1.81,0.28
19/09/1981,11.04,1.81,31.9
20/09/1981,10.53,1.81,2.74
21/09/1981,11,1.81,0.04
22/09/1981,10.6,1.81,0.42
23/09/1981,8.56,1.81,0.44
24/09/1981,10.56,1.81,0.42
25/09/1981,9.26,1.81,2.04
26/09/1981,6.55,1.81,46.28
27/09/1981,9.28,1.81,1.38
28/09/1981,11.94,1.81,0
29/09/1981,11.45,1.81,0.34
30/09/1981,10.93,1.81,0.22
01/10/1981,7.55,0.82,32.36
02/10/1981,5.96,0.82,33.14
03/10/1981,7.06,0.82,17.4
04/10/1981,7.61,0.82,1.42
05/10/1981,4.7,0.82,7.82
06/10/1981,6.01,0.82,2.78
07/10/1981,3.51,0.82,0.58
08/10/1981,5.59,0.82,11.9
09/10/1981,7.42,0.82,2.32
10/10/1981,5.64,0.82,1.36
11/10/1981,5.77,0.82,0.44
12/10/1981,3.13,0.82,12.98
13/10/1981,2.92,0.82,0.12
14/10/1981,1.08,0.82,0.02
15/10/1981,3.5,0.82,0
16/10/1981,4.36,0.82,0
17/10/1981,3.08,0.82,0
18/10/1981,3.96,0.82,1.12
19/10/1981,6.97,0.82,0.08
20/10/1981,3.46,0.82,4.78
21/10/1981,4.55,0.82,9.6
22/10/1981,4.39,0.82,0.4
23/10/1981,2.88,0.82,1.66
24/10/1981,4.19,0.82,2.46
25/10/1981,1.33,0.82,0.1
26/10/1981,1.44,0.82,0.04
27/10/1981,3.12,0.82,0.02
28/10/1981,4.41,0.82,3.06
29/10/1981,3.62,0.82,0.04
30/10/1981,4.29,0.82,2.54
31/10/1981,4.8,0.82,0.06
01/11/1981,6.04,0.64,3.16
02/11/1981,7.34,0.64,0.42
03/11/1981,8.86,0.64,0.12
04/11/1981,7.19,0.64,0.04
05/11/1981,5.76,0.64,0
06/11/1981,0.23,0.64,0
07/11/1981,1.47,0.64,0
08/11/1981,4.2,0.64,0.36
09/11/1981,7.75,0.64,6.28
10/11/1981,9.74,0.64,0.34
11/11/1981,9.05,0.64,0.5
12/11/1981,4.81,0.64,0.86
13/11/1981,4.16,0.64,1.32
14/11/1981,5.7,0.64,0
15/11/1981,5.36,0.64,0.24
16/11/1981,2.31,0.64,0.02
17/11/1981,3.41,0.64,0.32
18/11/1981,2.5,0.64,0.02
19/11/1981,3.91,0.64,7.68
20/11/1981,3.71,0.64,1.46
21/11/1981,6.99,0.64,4.68
22/11/1981,8.41,0.64,1.62
23/11/1981,4.05,0.64,4.26
24/11/1981,-0.11,0.64,2.68
25/11/1981,1.76,0.64,7.2
26/11/1981,4.11,0.64,1.4
27/11/1981,4.11,0.64,0.96
28/11/1981,1.83,0.64,2.46
29/11/1981,1.96,0.64,26.08
30/11/1981,0.9,0.64,0.76
01/12/1981,-1.53,0.22,0
02/12/1981,3.39,0.22,0
03/12/1981,6.65,0.22,5.9
04/12/1981,2.72,0.22,0.14
05/12/1981,1.56,0.22,0.52
06/12/1981,0.67,0.22,1.32
07/12/1981,-2.79,0.22,0.58
08/12/1981,-3.26,0.22,6.92
09/12/1981,-4,0.22,0.72
10/12/1981,-4.86,0.22,0.04
11/12/1981,-5.23,0.22,0
12/12/1981,-5.46,0.22,0.04
13/12/1981,-3.49,0.22,7.18
14/12/1981,-1.67,0.22,13.48
15/12/1981,-3.29,0.22,0
16/12/1981,-8.79,0.22,0
17/12/1981,-6.89,0.22,3.84
18/12/1981,-5.6,0.22,0
19/12/1981,-4.89,0.22,3.42
20/12/1981,-0.84,0.22,4.04
21/12/1981,0.51,0.22,2.5
22/12/1981,-1.13,0.22,0.08
23/12/1981,-4.48,0.22,1.96
24/12/1981,-5.24,0.22,0.42
25/12/1981,-5.08,0.22,0.22
26/12/1981,-5.4,0.22,2.06
27/12/1981,0.12,0.22,5.34
28/12/1981,-0.94,0.22,1.12
29/12/1981,-0.55,0.22,10.12
30/12/1981,2.04,0.22,26.86
31/12/1981,2.53,0.22,1.96
01/01/1982,0.49,0.13,0
02/01/1982,-1.2,0.13,21.06
03/01/1982,-0.64,0.13,18.36
04/01/1982,-0.9,0.13,12.88
05/01/1982,-2.1,0.13,3.82
06/01/1982,-8.22,0.13,0
07/01/1982,-10.87,0.13,0
08/01/1982,-11.17,0.13,3.66
09/01/1982,-12.38,0.13,0
10/01/1982,-11.81,0.13,0
11/01/1982,-8.69,0.13,0
12/01/1982,-6.2,0.13,0
13/01/1982,-2.89,0.13,2.26
14/01/1982,1.89,0.13,0
15/01/1982,-2.03,0.13,0
16/01/1982,-1.63,0.13,0
17/01/1982,2.87,0.13,0
18/01/1982,4.1,0.13,0.24
19/01/1982,4.43,0.13,2.18
20/01/1982,3.33,0.13,0.36
21/01/1982,4.7,0.13,0.24
22/01/1982,4.46,0.13,2.56
23/01/1982,3.95,0.13,0.24
24/01/1982,4.54,0.13,0.66
25/01/1982,5.6,0.13,3.78
26/01/1982,3.49,0.13,8.64
27/01/1982,3.36,0.13,0.58
28/01/1982,3.89,0.13,8
29/01/1982,6.99,0.13,2.16
30/01/1982,8.62,0.13,3.32
31/01/1982,6.1,0.13,0.02
01/02/1982,6.11,0.59,0.08
02/02/1982,3.13,0.59,0
03/02/1982,3.19,0.59,0
04/02/1982,4.29,0.59,1.26
05/02/1982,5.51,0.59,0.44
06/02/1982,5.2,0.59,0.06
07/02/1982,3.36,0.59,0.02
08/02/1982,2.49,0.59,0.92
09/02/1982,2.51,0.59,1.12
10/02/1982,3.39,0.59,0.64
11/02/1982,3.37,0.59,1.24
12/02/1982,3.66,0.59,5.84
13/02/1982,5.79,0.59,0.02
14/02/1982,2.67,0.59,0
15/02/1982,-1.12,0.59,0
16/02/1982,0.7,0.59,0
17/02/1982,-3.02,0.59,7.18
18/02/1982,-0.25,0.59,6.92
19/02/1982,1.56,0.59,0.34
20/02/1982,0.14,0.59,0
21/02/1982,1.28,0.59,0
22/02/1982,2.53,0.59,0
23/02/1982,2.05,0.59,0
24/02/1982,1.91,0.59,0.08
25/02/1982,3.59,0.59,2.86
26/02/1982,4.15,0.59,0.12
27/02/1982,5.67,0.59,0
28/02/1982,6.97,0.59,4.24
01/03/1982,3.54,1.08,0.3
02/03/1982,3.77,1.08,7.22
03/03/1982,3.03,1.08,3.28
04/03/1982,4.29,1.08,0.08
05/03/1982,2.53,1.08,0.32
06/03/1982,4.2,1.08,0.46
07/03/1982,2.1,1.08,0.64
08/03/1982,3.42,1.08,0.4
09/03/1982,2.99,1.08,3.1
10/03/1982,4.28,1.08,0.82
11/03/1982,0.92,1.08,18.62
12/03/1982,0.53,1.08,4.6
13/03/1982,1.89,1.08,0.28
14/03/1982,3.82,1.08,0.6
15/03/1982,2.77,1.08,0.44
16/03/1982,1.62,1.08,1.9
17/03/1982,2.43,1.08,5.28
18/03/1982,3.38,1.08,1.32
19/03/1982,1.88,1.08,2.22
20/03/1982,3.26,1.08,2.72
21/03/1982,3.5,1.08,0.12
22/03/1982,4.6,1.08,0.32
23/03/1982,4.36,1.08,0.02
24/03/1982,9.6,1.08,0
25/03/1982,10.83,1.08,0
26/03/1982,7.67,1.08,0
27/03/1982,5.49,1.08,0
28/03/1982,6.85,1.08,1.22
29/03/1982,3.19,1.08,2.18
30/03/1982,5.05,1.08,0
31/03/1982,5.43,1.08,0
01/04/1982,6.25,1.79,0.02
02/04/1982,6.09,1.79,0
03/04/1982,7.16,1.79,0.04
04/04/1982,8.12,1.79,5.06
05/04/1982,8.18,1.79,0.32
06/04/1982,5.74,1.79,3.22
07/04/1982,3.36,1.79,17.82
08/04/1982,0.47,1.79,1.32
09/04/1982,2.12,1.79,3.92
10/04/1982,2.42,1.79,0.36
11/04/1982,2,1.79,0.18
12/04/1982,3.22,1.79,0.18
13/04/1982,6.4,1.79,0.02
14/04/1982,7.99,1.79,0
15/04/1982,9.07,1.79,0.38
16/04/1982,8.44,1.79,0
17/04/1982,5.88,1.79,0
18/04/1982,6.14,1.79,0
19/04/1982,6.4,1.79,0
20/04/1982,6.64,1.79,0
21/04/1982,8.02,1.79,0
22/04/1982,10.25,1.79,0
23/04/1982,6.9,1.79,0
