Date,NH4,NO3,SS,SRP,TDP
02/04/2004,0.1111,3.7900,147.42,0.0236,0.0486
12/04/2004,0.0113,4.4799,0.50,0.0050,0.0107
19/04/2004,0.0678,3.4936,43.00,0.0149,0.0328
29/04/2004,0.0419,3.7642,60.00,0.0168,0.0441
10/05/2004,0.0135,4.4871,5.50,0.0075,0.0088
07/06/2004,0.0051,4.6803,14.50,0.0009,0.0144
24/06/2004,0.0391,3.9151,43.50,0.0198,0.0428
05/07/2004,0.0306,4.3246,3.50,0.0077,0.0164
02/08/2004,0.0184,4.2980,3.50,0.0072,0.0188
12/08/2004,0.0280,3.0052,4.25,0.0161,0.0349
18/08/2004,0.0631,2.4272,124.14,0.0337,0.0616
30/08/2004,0.0368,3.7512,4.50,0.0069,0.0164
27/09/2004,0.0121,4.4179,2.00,0.0065,0.0135
25/10/2004,0.0071,4.1483,10.00,0.0106,0.0263
23/11/2004,0.0266,4.4132,7.25,0.0075,0.0167
17/01/2005,0.0084,4.8720,3.75,0.0069,0.0145
14/02/2005,0.0261,5.4186,10.50,0.0100,0.0233
14/03/2005,0.0283,4.9090,7.75,0.0068,0.0178
11/04/2005,0.0187,4.9341,4.75,0.0103,0.0202
09/05/2005,0.0097,4.6557,2.00,0.0033,0.0113
06/06/2005,0.0367,4.9361,3.25,0.0065,0.0147
04/07/2005,0.0354,5.0576,4.25,0.0055,0.0117
01/08/2005,0.0325,4.7411,3.00,0.0106,0.0133
29/08/2005,0.0199,4.4204,2.75,0.0105,0.0136
19/09/2005,0.0177,4.8129,2.50,0.0096,0.0151
18/10/2005,0.0347,4.7544,1.50,0.0134,0.0285
24/10/2005,0.0214,4.5851,3.50,0.0140,0.0175
21/11/2005,0.0206,4.6674,4.25,0.0108,0.0154
19/12/2005,0.0155,4.8568,0.75,0.0132,0.0248
16/01/2006,0.0240,5.0788,5.25,0.0103,0.0142
14/02/2006,0.0423,4.6283,28.75,0.0143,0.0175
14/03/2006,0.0624,5.1209,7.25,0.0125,0.0344
11/04/2006,0.0149,5.0586,5.25,0.0076,0.0117
09/05/2006,0.0275,4.7863,5.50,0.0054,0.0070
11/07/2006,0.0400,4.7801,6.00,0.0173,0.0198
10/10/2006,0.0190,4.5510,0.00,0.0130,0.0165
19/02/2007,0.0376,5.5039,-999.00,0.0030,0.0069
04/07/2007,0.0201,3.2659,2.00,0.0140,0.0235
09/07/2007,0.0285,4.0448,0.00,0.0054,0.0082
08/10/2007,0.0034,4.9580,3.50,0.0073,0.0094
28/01/2008,0.0445,4.9769,3.50,0.0127,0.0144
21/04/2008,0.0228,4.5295,3.50,0.0057,0.0138
13/05/2008,0.0331,4.8638,34.00,0.0058,0.0218
16/07/2008,0.0105,4.3997,0.50,0.0075,0.0193
11/11/2008,0.0080,4.3173,2.00,0.0015,0.0156
12/01/2009,0.0389,4.8603,6.50,0.0076,0.0155
20/04/2009,0.0284,5.0043,4.50,0.0064,0.0205
22/07/2009,0.0286,2.3406,15.00,0.0119,0.0139
14/10/2009,0.0190,4.4165,18.00,0.0100,0.0280
15/12/2009,0.0259,2.6168,18.50,0.0029,0.0325
21/04/2010,0.0310,4.3601,3.00,0.0029,0.0041
03/08/2010,0.0450,4.4950,1.00,0.0100,0.0160
05/10/2010,0.0250,3.1650,5.00,0.0160,0.0210
18/01/2011,0.0389,4.1857,6.50,0.0139,0.0151
05/04/2011,0.0060,4.1280,9.00,0.0050,0.0140
04/07/2011,0.0060,4.0850,-999.00,0.0080,0.0550
04/10/2011,0.0160,3.9580,7.50,0.0130,0.0810
