Date,Obs_SRP,Obs_SS,Obs_TDP,Obs_TP,Obs_PP
24/12/1998,0.012,0.5,,,
27/12/1998,0.019,0.5,,,
30/12/1998,0.023,0.5,,,
07/01/1999,0.011,0.5,,,
14/01/1999,0.017,,,,
20/01/1999,0.006,,,,
28/01/1999,0.007,,,,
04/02/1999,0.01,,,,
11/02/1999,0.007,,,,
14/02/1999,0.017,81.1,,,
15/02/1999,0.012,48.8,,,
16/02/1999,0.008,0.5,,,
18/02/1999,0.012,,,,
19/02/1999,0.006,,,,
23/02/1999,0.009,,,,
25/02/1999,0.011,73.3,,,
26/02/1999,0.01,109.5,,,
03/03/1999,,,,,
04/03/1999,0.024,110,,,
10/03/1999,0.006,,,,
17/03/1999,,,,,
24/03/1999,0.014,,,,
31/03/1999,,,,,
07/04/1999,,,,,
14/04/1999,0.005,,,,
15/04/1999,0.021,100.9,,,
18/04/1999,0.005,,,,
19/04/1999,0.021,,,,
20/04/1999,0.027,184,,,
21/04/1999,0.029,70.7,,,
22/04/1999,,,,,
24/04/1999,,,,,
26/04/1999,,,,,
28/04/1999,,,,,
30/04/1999,,,,,
02/05/1999,,,,,
05/05/1999,0.011,,,,
07/05/1999,,,,,
09/05/1999,,,,,
12/05/1999,0.03,,,,
14/05/1999,0.014,,,,
17/05/1999,0.006,,,,
19/05/1999,0.013,,,,
21/05/1999,0.016,,,,
26/05/1999,0.009,,,,
29/05/1999,0.008,,,,
31/05/1999,0.01,,,,
02/06/1999,0.008,,,,
04/06/1999,0.075,,,,
06/06/1999,0.028,77.4,,,
07/06/1999,0.024,45.2,,,
09/06/1999,0.009,,,,
11/06/1999,0.007,,,,
14/06/1999,0.01,,,,
16/06/1999,0.006,,,,
18/06/1999,0.016,,,,
21/06/1999,0.012,,,,
23/06/1999,0.007,,,,
25/06/1999,0.006,,,,
28/06/1999,0.01,,,,
30/06/1999,0.006,,,,
02/07/1999,0.013,,,,
05/07/1999,0.029,,,,
06/07/1999,0.038,61.5,,,
07/07/1999,0.012,0.5,,,
08/07/1999,0.009,,,,
10/07/1999,0.031,69.9,,,
11/07/1999,0.008,25.7,,,
14/07/1999,0.016,,,,
17/07/1999,0.011,,,,
19/07/1999,0.007,,,,
21/07/1999,0.008,,,,
23/07/1999,0.01,,,,
26/07/1999,0.007,,,,
28/07/1999,0.012,,,,
30/07/1999,0.006,,,,
02/08/1999,0.013,,,,
04/08/1999,0.01,,,,
06/08/1999,0.01,,,,
09/08/1999,0.007,,,,
11/08/1999,0.01,,,,
13/08/1999,0.01,,,,
16/08/1999,0.012,,,,
18/08/1999,0.006,,,,
27/08/1999,0.017,,,,
29/08/1999,0.017,,,,
01/09/1999,0.019,,,,
03/09/1999,0.019,,,,
06/09/1999,0.061,,,,
07/09/1999,0.028,,,,
08/09/1999,0.024,,,,
10/09/1999,0.007,,,,
13/09/1999,0.006,,,,
15/09/1999,0.007,,,,
17/09/1999,0.006,,,,
20/09/1999,0.049,58.3,,,
21/09/1999,0.029,38.4,,,
22/09/1999,0.02,,,,
23/09/1999,0.027,,,,
24/09/1999,0.006,,,,
25/09/1999,0.043,,,,
26/09/1999,0.032,,,,
28/09/1999,0.011,,,,
29/09/1999,0.028,,,,
30/09/1999,0.026,,,,
06/10/1999,0.023,,,,
13/10/1999,0.025,,,,
20/10/1999,0.034,,,,
21/10/1999,0.021,,,,
22/10/1999,0.038,46.6,,,
23/10/1999,0.022,31.5,,,
24/10/1999,0.016,,,,
25/10/1999,0.023,,,,
29/10/1999,0.017,,,,
05/11/1999,0.011,,,,
10/11/1999,0.009,,,,
17/11/1999,0.016,,,,
06/12/1999,0.019,27.9,,,
07/12/1999,0.008,7.6,,,
08/12/1999,0.012,28.4,,,
17/02/2000,0.016,,,,
23/02/2000,0.01,,,,
01/03/2000,0.005,,,,
06/03/2000,0.007,,,,
15/03/2000,0.005,,,,
22/03/2000,0.012,,,,
29/03/2000,0.005,,,,
05/04/2000,0.005,,,,
11/04/2000,0.006,,,,
12/04/2000,0.017,,,,
13/04/2000,0.006,,,,
27/04/2000,0.005,,,,
31/05/2000,0.005,,,,
07/06/2000,0.007,5,,,
14/06/2000,0.006,5,,,
21/06/2000,0.005,5,,,
28/06/2000,0.012,0.5,,,
05/07/2000,0.017,5,,,
12/07/2000,0.018,0.5,,,
19/07/2000,0.022,5,,,
26/07/2000,0.024,0.5,,,
02/08/2000,0.028,10,,,
09/08/2000,0.08,10,0.1,,
16/08/2000,0.019,5,0.041,,
19/08/2000,0.065,78.3,0.096,,
23/08/2000,0.024,35,0.033,,
30/08/2000,0.005,5,0.022,,
06/09/2000,0.038,10,0.054,,
13/09/2000,0.005,0.5,0.018,,
19/09/2000,0.033,72.5,0.047,,
20/09/2000,0.029,42.8,0.057,,
05/10/2000,0.02,8,0.029,,
09/10/2000,0.047,124,0.061,,
10/10/2000,0.056,63.3,0.077,,
11/10/2000,0.039,34.7,0.061,,
12/10/2000,0.031,37,0.052,,
27/10/2000,0.005,16,0.014,,
01/11/2000,0.011,4,0.016,,
06/11/2000,0.027,73.3,0.042,,
07/11/2000,0.054,150,0.077,,
15/11/2000,0.013,5,0.019,,
20/12/2000,0.018,10,0.031,,
26/12/2000,0.005,5,0.012,,
03/01/2001,0.005,0.5,0.024,,
21/05/2001,0.025,4,0.032,,
28/05/2001,0.005,2.5,0.022,,
04/06/2001,0.005,2.5,0.022,,
11/06/2001,0.005,3.5,0.02,,
18/06/2001,0.005,6,0.026,,
25/06/2001,0.036,3.5,0.046,,
11/07/2001,0.023,8,0.046,,
18/07/2001,0.023,4.5,0.055,,
25/07/2001,0.024,0.5,0.041,,
01/08/2001,0.02,3,0.066,,
08/08/2001,0.063,1.5,0.076,,
15/08/2001,0.027,3,0.037,,
19/08/2001,0.062,88.1,0.083,,
20/08/2001,0.01,85,0.067,,
22/08/2001,0.005,5.5,0.037,,
29/08/2001,0.005,3.5,0.04,,
05/09/2001,0.005,8,0.045,,
12/09/2001,0.005,4.5,0.038,,
19/09/2001,0.005,27,0.035,,
27/09/2001,0.005,,0.018,,
02/11/2001,0.005,13.8,0.017,,
07/11/2001,0.005,11.2,0.01,,
10/11/2001,0.01,24.6,0.027,,
11/11/2001,0.005,2.1,0.015,,
12/11/2001,0.005,2,0.012,,
17/11/2001,0.005,2.5,0.022,,
21/11/2001,0.033,1,0.082,,
28/11/2001,0.005,1.5,0.017,,
30/11/2001,0.005,35.5,0.035,,
01/12/2001,0.006,40.6,0.049,,
04/12/2001,0.005,4,0.017,,
08/12/2001,0.005,2.5,0.005,,
18/12/2001,0.019,26,0.019,,
21/12/2001,0.057,71.7,0.076,,
24/12/2001,0.042,25.4,0.055,,
25/12/2001,0.037,17,0.046,,
28/12/2001,0.035,8.5,0.041,,
17/01/2002,0.017,10.7,0.023,,
22/01/2002,0.015,4,0.029,,
23/01/2002,0.043,21.6,0.066,,
24/01/2002,0.037,58.8,0.052,,
26/01/2002,0.015,28.2,0.034,,
27/01/2002,0.01,6.6,0.021,,
28/01/2002,0.02,67.8,0.044,,
29/01/2002,0.007,17.1,0.026,,
11/02/2002,0.018,17.5,,,
24/02/2002,0.01,1.5,,,
15/03/2002,0.014,3,,,
21/03/2002,0.017,0.5,,,
27/03/2002,0.015,6,,,
03/04/2002,0.01,0.5,,,
10/04/2002,0.016,3,,,
17/04/2002,0.014,0.5,,,
22/04/2002,0.006,4.5,,,
29/04/2002,0.01,0.5,,,
02/06/2002,0.024,18.7,,,
06/06/2002,0.025,45.5,,,
12/06/2002,0.023,23.5,,,
19/06/2002,0.021,4,,,
25/06/2002,0.019,8,,,
03/07/2002,0.045,5,,,
10/07/2002,0.027,2,,,
17/07/2002,0.035,1,,,
19/07/2002,0.047,40.5,,,
20/07/2002,0.051,57.7,,,
21/07/2002,0.025,6.5,,,
24/07/2002,0.009,3,,,
31/07/2002,0.031,5.5,,,
03/08/2002,0.042,17,,,
04/08/2002,0.031,7.4,,,
07/08/2002,0.025,34.5,,,
13/08/2002,0.018,8,,,
21/08/2002,0.018,5.5,,,
28/08/2002,0.021,3.5,,,
04/09/2002,0.016,5,,,
07/09/2002,0.045,40.5,,,
08/09/2002,0.043,12.3,,,
09/09/2002,0.027,13.4,,,
11/09/2002,0.014,4.5,,,
18/09/2002,0.022,7,,,
25/09/2002,0.018,2,,,
02/10/2002,0.012,3.5,,,
09/10/2002,0.019,1.5,,,
23/10/2002,0.054,120,,,
25/10/2002,0.009,25.5,,,
12/11/2002,0.008,4,,,
10/01/2003,0.012,8,,,
16/01/2003,0.009,30,,,
20/01/2003,0.026,31.8,,,
22/01/2003,0.043,102.3,,,
23/01/2003,0.021,9.4,,,
28/01/2003,0.01,1,,,
04/02/2003,0.008,0.5,,,
12/02/2003,0.017,3,,,
19/02/2003,0.013,1.5,,,
26/02/2003,0.009,1.5,,,
05/03/2003,0.021,4,,,
12/03/2003,0.017,1,,,
19/03/2003,0.023,5.5,,,
26/03/2003,0.075,7.5,,,
02/04/2003,0.027,5.5,,,
17/04/2003,0.019,5,,,
23/04/2003,0.016,10.5,,,
30/04/2003,0.016,9.5,,,
02/05/2003,0.041,100.9,,,
03/05/2003,0.026,19.2,,,
07/05/2003,0.019,13,,,
14/05/2003,0.016,6.5,,,
21/05/2003,0.009,11,,,
28/05/2003,0.014,8,0.005,,
04/06/2003,0.01,9,0.005,,
11/06/2003,0.012,5.5,0.005,,
18/06/2003,0.012,5,0.005,,
25/06/2003,0.018,7.5,0.005,,
02/07/2003,0.013,7,0.005,,
06/08/2003,0.055,4.5,0.074,,
13/08/2003,0.036,1.5,0.038,,
20/08/2003,0.041,4.5,0.049,,
27/08/2003,0.013,1,0.005,,
03/09/2003,0.032,3,0.032,,
10/09/2003,0.055,2.5,0.062,,
17/09/2003,0.076,2,0.087,,
24/09/2003,0.039,32.5,,,
01/10/2003,0.029,36.5,,,
07/10/2003,0.024,92.5,,,
15/10/2003,0.015,7,,,
23/10/2003,0.011,37.5,,,
29/10/2003,0.007,9.5,,,
05/11/2003,0.023,22,,,
12/11/2003,0.021,18,,,
19/11/2003,0.01,18.5,,,
27/11/2003,0.011,7,,,
03/12/2003,0.007,1,,,
10/12/2003,0.017,3.5,,,
17/12/2003,0.021,36.5,0.033,,
21/12/2003,0.038,160.6,0.075,,
23/12/2003,0.018,8.5,0.041,,
22/01/2004,0.021,4.5,0.036,,
28/01/2004,0.015,1,0.029,,
02/02/2004,0.027,163.8,0.057,,
03/02/2004,0.018,38.6,0.053,,
